# image id, class 0, class 1, class 2, class 3, class 4, class 5, class 6, class 7, class 8, class 9, class 10, class 11, class 12, class 13, class 14
0.000000000000000000e+00,-1.450245239257812500e+03,6.590882568359375000e+02,-7.061630859375000000e+02,1.185813842773437500e+03,1.118588733673095703e+01,-2.887049072265625000e+03,2.131923339843750000e+03,1.047182250976562500e+03,1.859210662841796875e+02,4.868283996582031250e+02,8.917933349609375000e+02,-1.142178588867187500e+03,1.755392211914062500e+03,1.194396240234375000e+03,-2.010634887695312500e+03
1.000000000000000000e+00,-4.463952331542968750e+02,3.471326171875000000e+03,-1.647294311523437500e+03,-8.682686767578125000e+02,6.837302246093750000e+02,-8.196663818359375000e+02,-6.072882080078125000e+02,-5.606231079101562500e+02,1.186122924804687500e+03,4.261882324218750000e+02,7.839113769531250000e+02,-1.356865112304687500e+03,5.062887878417968750e+02,3.698657531738281250e+02,-5.113936767578125000e+02
2.000000000000000000e+00,-1.734714233398437500e+03,8.512304687500000000e+02,-3.361446228027343750e+02,-4.656961975097656250e+02,3.130765686035156250e+02,-1.856907470703125000e+03,9.629351806640625000e+02,5.229029541015625000e+02,2.903363342285156250e+02,1.281635009765625000e+03,-8.295637207031250000e+02,-9.488568725585937500e+02,2.842422119140625000e+03,1.052636718750000000e+03,-1.055853637695312500e+03
3.000000000000000000e+00,4.558818340301513672e+00,-3.459678649902343750e+02,-1.249437744140625000e+03,-1.032158813476562500e+03,1.131318359375000000e+03,-1.347857543945312500e+03,7.308931732177734375e+01,-9.202429199218750000e+02,3.476449890136718750e+02,1.023381042480468750e+03,2.156687011718750000e+03,8.912084350585937500e+02,1.217653045654296875e+02,-2.510315093994140625e+02,5.915061950683593750e+01
4.000000000000000000e+00,4.147024841308593750e+02,6.142919311523437500e+02,8.775839233398437500e+02,2.401366943359375000e+03,-8.084841918945312500e+02,-2.261979003906250000e+03,1.408864501953125000e+03,-1.784062347412109375e+02,1.026495239257812500e+03,-6.921104736328125000e+02,-4.676350708007812500e+02,-6.585480957031250000e+02,8.743259429931640625e+01,1.302041748046875000e+03,-2.327582031250000000e+03
5.000000000000000000e+00,5.615200195312500000e+02,-1.281443847656250000e+03,8.089692993164062500e+02,-3.208252868652343750e+02,-1.574477844238281250e+02,-2.748397827148437500e+02,5.770491333007812500e+02,3.408520202636718750e+02,-6.799954223632812500e+01,1.139444702148437500e+03,-1.574070739746093750e+02,-1.627825927734375000e+02,-4.471740722656250000e+02,2.437064971923828125e+02,-6.309958496093750000e+02
6.000000000000000000e+00,2.206537933349609375e+02,-3.052140197753906250e+02,6.832555389404296875e+01,-1.745587158203125000e+03,3.799344482421875000e+02,-2.259602661132812500e+02,7.393310546875000000e+01,-1.623247924804687500e+03,1.726763000488281250e+02,-7.171004638671875000e+02,1.486231201171875000e+03,7.950557250976562500e+02,5.296987915039062500e+02,-2.966457519531250000e+02,1.158684204101562500e+03
7.000000000000000000e+00,5.062473144531250000e+02,-1.027274902343750000e+03,1.089177734375000000e+03,-1.640077880859375000e+03,2.926237487792968750e+02,4.456692886352539062e+01,5.656898803710937500e+02,-6.549252319335937500e+02,1.172722549438476562e+02,2.148930816650390625e+02,-2.273408050537109375e+02,4.228231811523437500e+02,-4.080340576171875000e+01,-2.642222290039062500e+02,5.181110839843750000e+02
8.000000000000000000e+00,1.823097839355468750e+02,-7.643201904296875000e+02,-1.339140510559082031e+01,-4.749804992675781250e+02,9.353382873535156250e+01,-4.703005981445312500e+02,4.458161926269531250e+02,4.056504211425781250e+02,2.472705078125000000e+02,8.974087524414062500e+02,-2.573439331054687500e+02,-8.513009033203125000e+02,1.835914001464843750e+02,1.247674682617187500e+03,-6.628125610351562500e+02
9.000000000000000000e+00,2.555558166503906250e+02,-4.206902770996093750e+02,4.495371704101562500e+02,-5.802623291015625000e+02,-2.900336074829101562e+01,7.207194824218750000e+02,4.067257690429687500e+02,-7.532182312011718750e+01,2.926675415039062500e+02,2.871058654785156250e+02,-5.143601226806640625e+01,-3.394079589843750000e+01,8.494019317626953125e+01,-4.273534545898437500e+02,-6.891627197265625000e+02
1.000000000000000000e+01,8.544379272460937500e+02,-3.236227416992187500e+01,-6.541622161865234375e+01,-1.551501708984375000e+03,1.182706909179687500e+03,-1.425428466796875000e+02,-5.712856292724609375e+01,-1.340565429687500000e+03,1.539092864990234375e+02,8.615050048828125000e+02,5.225672607421875000e+02,9.707889404296875000e+02,-4.220467834472656250e+02,-4.855964660644531250e+02,-3.052448730468750000e+02
1.100000000000000000e+01,-4.338691101074218750e+02,3.697753295898437500e+02,8.699354248046875000e+02,1.421808227539062500e+03,-7.385315551757812500e+02,-1.436856079101562500e+03,2.267510498046875000e+03,1.035292846679687500e+03,-7.150953674316406250e+01,8.014303588867187500e+02,-7.510199584960937500e+02,-1.361895385742187500e+03,8.810025024414062500e+02,8.786541748046875000e+02,-2.607510498046875000e+03
1.200000000000000000e+01,-3.320308532714843750e+02,-7.978628540039062500e+02,-5.512105712890625000e+02,-4.906722106933593750e+02,1.033442749023437500e+03,-2.119259765625000000e+03,9.085796508789062500e+02,-6.423117065429687500e+02,3.373529357910156250e+02,2.049351562500000000e+03,2.478445800781250000e+03,7.818806152343750000e+02,8.946766357421875000e+02,-1.117522460937500000e+03,-1.326324829101562500e+03
1.300000000000000000e+01,-9.589753417968750000e+02,4.399727478027343750e+02,-5.946871337890625000e+02,4.239020080566406250e+02,-2.064915771484375000e+02,-1.635621582031250000e+03,1.890115203857421875e+02,-1.058091918945312500e+03,2.838280517578125000e+03,-1.846562576293945312e+01,-1.043772659301757812e+02,-7.058753662109375000e+02,1.332299194335937500e+03,1.337938842773437500e+03,-1.159582519531250000e+03
1.400000000000000000e+01,-2.866988830566406250e+02,7.475651550292968750e+01,-5.267204589843750000e+02,1.327862548828125000e+03,-5.832782592773437500e+02,-1.245874877929687500e+03,3.759549865722656250e+02,-1.046744585037231445e+00,7.614364013671875000e+02,3.317921142578125000e+02,7.319638671875000000e+02,-5.440466308593750000e+02,3.795328674316406250e+02,8.345153198242187500e+02,-1.139137451171875000e+03
1.500000000000000000e+01,6.496956176757812500e+02,-7.718178710937500000e+02,2.325800292968750000e+03,-1.318297119140625000e+03,-1.161921157836914062e+02,-4.724568176269531250e+02,7.774498291015625000e+02,-8.819028320312500000e+02,-3.208871459960937500e+02,2.636366271972656250e+02,-7.216859130859375000e+02,1.534708374023437500e+03,-8.652276039123535156e+00,-6.791397094726562500e+02,-1.215972232818603516e+01
